ic,rank_ic,directional_accuracy,top_decile_return,sharpe,model_name,ticker,n_obs
-0.028932062322843878,-0.028932062322843878,0.4804804804804805,-0.0006884433605626206,-0.19910739253590137,Ridge (linear baseline),AAPL,999
-0.09205252547136313,-0.09205252547136313,0.4694694694694695,0.005581349386394916,1.1622144337678815,Ridge (linear baseline),ABBV,999
0.011694355678323613,0.011694355678323613,0.4864864864864865,0.005354983000766641,1.238902055903837,Ridge (linear baseline),ACN,999
-0.0034132529322910077,-0.0034132529322910077,0.45245245245245247,0.002526262605312491,0.6679178732876218,Ridge (linear baseline),ADI,999
-0.07291302123767053,-0.07291302123767053,0.4844844844844845,-0.002354213667803718,-0.6831064761858016,Ridge (linear baseline),ADP,999
-0.020354703400795583,-0.020354703400795583,0.5035035035035035,0.0026381323449829928,0.490845198923933,Ridge (linear baseline),AMAT,999
-0.008707553244627393,-0.008707553244627393,0.5025025025025025,-0.0034549684691965285,-0.4117351872920783,Ridge (linear baseline),AMD,999
-0.04461080719998555,-0.04461080719998555,0.46346346346346345,-0.003575693502179498,-0.8411767586151003,Ridge (linear baseline),AMGN,999
0.09747817557035993,0.09747817557035993,0.5215215215215215,0.001881907026747942,0.23789022615740962,Ridge (linear baseline),AMZN,999
0.007227211179114986,0.007227211179114986,0.5115115115115115,-0.0028569095605119046,-0.6874313820109733,Ridge (linear baseline),AON,999
-0.11297620919472445,-0.11297620919472445,0.47695390781563124,-0.002014184527608276,-0.57004903198542,Ridge (linear baseline),APH,998
-0.010475798443734315,-0.010475798443734315,0.5405405405405406,0.009857159788306239,1.3561561794503512,Ridge (linear baseline),AVGO,999
0.025139167223335555,0.025139167223335555,0.5085085085085085,0.005349840234868164,0.9365732925294763,Ridge (linear baseline),AXP,999
-0.005060198475028133,-0.005060198475028133,0.45145145145145144,0.010626049295062463,1.535223993681074,Ridge (linear baseline),BA,999
0.03257623956621952,0.03257623956621952,0.5025025025025025,-0.0022820660125095313,-0.44751412550398967,Ridge (linear baseline),BAC,999
0.010213568277696533,0.010213568277696533,0.5395395395395396,-0.0022730656134231446,-0.34167351247315975,Ridge (linear baseline),BKNG,999
