ic,rank_ic,directional_accuracy,top_decile_return,sharpe,model_name,ticker,n_obs
-0.0289320623228438,-0.0289320623228438,0.4804804804804805,-0.0006884433605626,-0.1991073925359013,Ridge (linear baseline),AAPL,999
-0.0920525254713631,-0.0920525254713631,0.4694694694694695,0.0055813493863949,1.1622144337678817,Ridge (linear baseline),ABBV,999
0.0116943556783236,0.0116943556783236,0.4864864864864865,0.0053549830007666,1.238902055903837,Ridge (linear baseline),ACN,999
-0.003413252932291,-0.003413252932291,0.4524524524524524,0.0025262626053124,0.6679178732876218,Ridge (linear baseline),ADI,999
-0.0729130212376705,-0.0729130212376705,0.4844844844844845,-0.0023542136678037,-0.6831064761858016,Ridge (linear baseline),ADP,999
-0.0203547034007955,-0.0203547034007955,0.5035035035035035,0.0026381323449829,0.490845198923933,Ridge (linear baseline),AMAT,999
-0.0087075532446273,-0.0087075532446273,0.5025025025025025,-0.0034549684691965,-0.4117351872920783,Ridge (linear baseline),AMD,999
-0.0446108071999855,-0.0446108071999855,0.4634634634634634,-0.0035756935021794,-0.8411767586151003,Ridge (linear baseline),AMGN,999
0.0974781755703599,0.0974781755703599,0.5215215215215215,0.0018819070267479,0.2378902261574096,Ridge (linear baseline),AMZN,999
0.0072272111791149,0.0072272111791149,0.5115115115115115,-0.0028569095605119,-0.6874313820109733,Ridge (linear baseline),AON,999
-0.1129762091947244,-0.1129762091947244,0.4769539078156312,-0.0020141845276082,-0.57004903198542,Ridge (linear baseline),APH,998
-0.0104757984437343,-0.0104757984437343,0.5405405405405406,0.0098571597883062,1.3561561794503512,Ridge (linear baseline),AVGO,999
0.0251391672233355,0.0251391672233355,0.5085085085085085,0.0053498402348681,0.9365732925294764,Ridge (linear baseline),AXP,999
-0.0050601984750281,-0.0050601984750281,0.4514514514514514,0.0106260492950624,1.535223993681074,Ridge (linear baseline),BA,999
0.0325762395662195,0.0325762395662195,0.5025025025025025,-0.0022820660125095,-0.4475141255039896,Ridge (linear baseline),BAC,999
0.0102135682776965,0.0102135682776965,0.5395395395395396,-0.0022730656134231,-0.3416735124731597,Ridge (linear baseline),BKNG,999
-0.0449203743917544,-0.0449203743917544,0.4669338677354709,-0.0001472242304295,-0.0381587024631521,Ridge (linear baseline),BLK,998
-0.0113852449644032,-0.0113852449644032,0.4814814814814814,-0.0038993190143851,-1.1568483349937555,Ridge (linear baseline),BMY,999
-0.068734225207171,-0.068734225207171,0.4664664664664664,-0.0008513015295956,-0.3703879969714712,Ridge (linear baseline),BRK-B,999
-0.0462221500057171,-0.0462221500057171,0.4924924924924925,0.0027649241870027,0.7225047629459752,Ridge (linear baseline),BSX,999
-0.0449266340488785,-0.0449266340488785,0.4784784784784784,0.0029832282198262,0.5969963193878691,Ridge (linear baseline),CAT,999
-0.0339723531146376,-0.0339723531146376,0.4664664664664664,0.0012637294878474,0.3380810049255438,Ridge (linear baseline),CB,999
0.0256193949460482,0.0256193949460482,0.5365365365365365,-0.0004505713233344,-0.077429654386061,Ridge (linear baseline),CDNS,999
