date,ticker,ret_lag_1d,ret_lag_2d,ret_lag_5d,ret_lag_10d,ret_lag_20d,vol_5d,vol_20d,vol_60d,momentum_5d,momentum_20d,momentum_60d,rsi_14,volume_zscore,macd_signal,macd_hist,bb_position,atr_norm_ret,vix_level,vix_5d_chg,spy_ret_5d,spy_ret_20d,spy_vol_20d,yield_curve,yield_curve_20d_chg,earnings_surprise,earnings_event,xs_momentum_20d_rank,xs_momentum_60d_rank,xs_rsi_14_rank,xs_vol_20d_rank,xs_peer_excess_ret
2024-12-20,SYK,-0.005651814673085842,-0.031390691182064945,-0.0012263619538100956,0.006719756381615705,0.011564114693750183,0.018484869025354476,0.01176053916592372,0.012039377252072,-0.047778843832597784,-0.07399911360140288,-0.0043538620072898215,11.920797812883066,1.5287299104393837,0.2564075751417958,-3.6858177908232532,-0.08464321539492167,-0.0008705863112022333,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.23232323232323232,0.5050505050505051,0.13131313131313133,0.32323232323232326,-0.012448978976993721
2024-12-20,CI,-0.026946714534957672,0.06333086890798922,-0.003887592431061071,-0.014878544931223758,0.020655976837497203,0.04022840844284705,0.024576337309774654,0.021551800534693574,-0.028838023512565147,-0.14668502718720489,-0.20898476918956455,18.548066943894497,0.9577227486805951,-8.991730627450341,-4.686043925579053,0.14104244191193033,-0.002712413480261811,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.030303030303030304,0.04040404040404041,0.26262626262626265,0.8787878787878788,0.006491841343038915
2024-12-20,ICE,-0.008756656593705392,-0.020878256274688534,-0.006196072970725108,-0.0028138527063933383,0.016563102629118864,0.012756189542088334,0.009295676950727952,0.0124686676470426,-0.05001488668170606,-0.04525795454239634,-0.06729277245685017,15.501828347170658,1.8698998235465591,-1.0981357811742325,-0.7778540403369507,-0.11112367567937295,-0.0036675051366024825,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.3939393939393939,0.3434343434343434,0.18181818181818182,0.15151515151515152,-0.014685021826101999
2024-12-20,HON,8.820285034483177e-05,-0.026894892524545244,-0.00030740105294591036,0.00039765402592761845,-0.002558699267767417,0.023787522714959163,0.014143263922835554,0.01466287953191841,-0.003557541299628819,0.000926500616831305,0.10260619953160188,41.75072049393835,0.5278871695629292,2.446597678145748,-0.5887074787439825,0.3087199167494685,1.850124393337449e-05,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.6868686868686869,0.7373737373737373,0.7474747474747475,0.5151515151515151,0.03177232355597524
2024-12-20,GILD,0.00441054931315743,-0.022737050630034616,0.002728888351651859,-0.013491939259957508,0.012749679274798531,0.014644414105612145,0.012313058037890713,0.014846018779239113,-0.005676373609059926,0.036394233910076235,0.1173290535322773,47.41126585538198,0.969054377505617,0.7066173374015167,-0.15556511078029323,0.4632270148580552,0.002132501230297451,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.8585858585858586,0.8282828282828283,0.8282828282828283,0.3838383838383838,0.029653491246544136
2024-12-20,MS,-0.00446130292814817,-0.052450207942249305,-0.003987132180656161,-0.0027624917790225467,0.025059004242116156,0.029382150746520216,0.014643520533779465,0.02186205145275777,-0.057931407168866356,-0.08497224974847073,0.18675726944474613,17.83438466977013,1.4603611617440244,0.9136143580195659,-1.4293521316360165,-0.0904638480184458,-0.0017537957284354687,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.1919191919191919,0.9090909090909091,0.24242424242424243,0.5555555555555556,-0.022601542313262293
2024-12-20,TMO,0.0009882447573437148,-0.023939374792402268,0.0043460715017409335,0.016319022206295664,0.006356691371513179,0.014318481476654705,0.011709488137098671,0.012248265882942927,-0.015096892255596739,0.008256245095431769,-0.1378937375386564,40.65855208378982,0.007674071735578048,-5.981902977213088,0.7140163754882343,0.24544556086704558,9.554166013063655e-05,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.7272727272727273,0.16161616161616163,0.7171717171717171,0.31313131313131315,0.020232972600007323
2024-12-20,WELL,-0.014412013430530557,-0.02816676480484026,0.005294381797069647,-0.009350673481933303,0.003493469757038792,0.014449537071009719,0.012320110540070761,0.013282816885808907,-0.036281551775410814,-0.09912664962925477,-0.036310878790604684,10.655820339298714,0.9039142844321589,-1.1146836211828832,-0.953933598133994,0.042070326229605715,-0.005564992463885476,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.15151515151515152,0.41414141414141414,0.09090909090909091,0.3939393939393939,-0.0009516869198067518
2024-12-20,WFC,0.00130869266621092,-0.02895059435901326,-0.005084606385880153,0.00909585136811586,0.01698830239358129,0.022640425190541918,0.014474239167777521,0.0229329744823837,-0.027542489578804674,-0.06428399579725175,0.2916752853820159,22.10363427942812,-0.11687358549329782,0.79890153815942,-0.9097159429085693,0.0802034535813738,0.0007687673830091775,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.30303030303030304,0.98989898989899,0.40404040404040403,0.5454545454545454,0.007787375276799388
2024-12-20,MSFT,-0.0008230513686988683,-0.037560993441939416,-0.005093871439144526,0.0021463355010171714,-0.004316785172784554,0.01895436530285605,0.012663047192941701,0.01352569332787866,-0.027871600562558885,0.05394786227275561,0.013410549755635826,61.62015684669287,0.5247277867178287,6.4988087828843994,-0.29110289071434536,0.5161109083881777,-0.00010549597096406335,24.09000015258789,0.7306034497523941,-0.0301591642619145,-0.006860692118115,0.0080032379743324,0.3500003814697265,0.3540000915527344,0.0,0.0,0.9191919191919192,0.5353535353535354,0.9393939393939394,0.43434343434343436,0.007458264293045178
