ic,rank_ic,directional_accuracy,top_decile_return,sharpe,model_name,ticker,n_obs
0.07225304338892787,0.07225304338892787,0.5035035035035035,7.52568480940753e-05,0.02386659845919808,Random Forest,AAPL,999
-0.04896242527018114,-0.04896242527018114,0.5395395395395396,-0.0008892857818156224,-0.184972569211114,Random Forest,ABBV,999
-0.05798495440410642,-0.05798495440410642,0.5035035035035035,-0.00018000830770706832,-0.043385576709865765,Random Forest,ACN,999
-0.00875615381517009,-0.00875615381517009,0.4804804804804805,-0.003201910012379907,-1.13618346746448,Random Forest,ADI,999
-0.07638474416265896,-0.07638474416265896,0.5185185185185185,0.0007114678316873967,0.2008269331833308,Random Forest,ADP,999
0.0001933018107985745,0.0001933018107985745,0.5085085085085085,0.005620911562422499,0.8966387729990568,Random Forest,AMAT,999
0.04819842422003635,0.04819842422003635,0.47347347347347346,0.005266974028350879,0.6272450345079159,Random Forest,AMD,999
-0.04596564190680202,-0.04596564190680202,0.46046046046046046,-0.013369607507111369,-3.983713443801452,Random Forest,AMGN,999
0.11510625681701848,0.11510625681701848,0.4824824824824825,0.00960026826356205,1.4679824472393808,Random Forest,AMZN,999
-0.0171748283438235,-0.0171748283438235,0.5305305305305306,0.0035171112451811435,1.331366629555975,Random Forest,AON,999
-0.0228935866718265,-0.0228935866718265,0.5360721442885772,0.003093181957635363,1.3823306598503333,Random Forest,APH,998
0.03352713799451128,0.03352713799451128,0.5545545545545546,0.005814381881922868,1.388921368728321,Random Forest,AVGO,999
-0.019703633250778622,-0.019703633250778622,0.5325325325325325,0.0015664771221852243,0.4479755003733472,Random Forest,AXP,999
0.036837569417684554,0.036837569417684554,0.4494494494494494,0.004848119453728937,0.6870859119834033,Random Forest,BA,999
-0.06379432847175917,-0.06379432847175917,0.4874874874874875,0.0006620195952586243,0.15017798304790747,Random Forest,BAC,999
-0.004091056195887657,-0.004091056195887657,0.5485485485485485,0.0006588839231744018,0.13177138167372596,Random Forest,BKNG,999
-0.06865428397518883,-0.06865428397518883,0.4849699398797595,-0.0028621350365422116,-0.9358182778735995,Random Forest,BLK,998
-0.127733984038538,-0.127733984038538,0.46646646646646645,-0.010251529210033392,-2.7687074414845996,Random Forest,BMY,999
0.004198639306648174,0.004198639306648174,0.5025025025025025,-0.005362282753510299,-2.3319708587607884,Random Forest,BRK-B,999
-0.05283444250550082,-0.05283444250550082,0.5295295295295295,0.00014681569922564362,0.05034367910735991,Random Forest,BSX,999
-0.0011907229037770243,-0.0011907229037770243,0.4984984984984985,0.006386249427339899,1.27815113361937,Random Forest,CAT,999
-0.030227932185560833,-0.030227932185560833,0.5345345345345346,-0.013844763822897012,-3.383528937664902,Random Forest,CB,999
0.025013800362646367,0.025013800362646367,0.5235235235235235,0.017986943248059772,3.6246079471766826,Random Forest,CDNS,999
-0.07094982899304114,-0.07094982899304114,0.56,0.002227566924606355,0.3037068911999168,Random Forest,CEG,675
-0.03338319967810312,-0.03338319967810312,0.5105105105105106,-0.009317507397441685,-1.8424289987697535,Random Forest,CI,999
0.025070237637128626,0.025070237637128626,0.47147147147147145,0.0033068877176759973,0.8205524440115893,Random Forest,CME,999
-0.0003590700078009145,-0.0003590700078009145,0.4944944944944945,0.01202777031777812,1.6640878677576814,Random Forest,COF,999
-0.05364056854971629,-0.05364056854971629,0.5735735735735735,0.004363838946017076,1.647174976346671,Random Forest,COST,999
0.06256391634655294,0.06256391634655294,0.5095095095095095,0.00694298300538662,1.2465798433350765,Random Forest,CRM,999
-0.02052456521137809,-0.02052456521137809,0.47847847847847846,-0.0022914281114064725,-0.5657827933360925,Random Forest,CSCO,999
-0.05863855959465955,-0.05863855959465955,0.5485485485485485,-0.0030343856701998593,-1.1675406251365648,Random Forest,CTAS,999
-0.06865914451142274,-0.06865914451142274,0.48848848848848847,-0.007843453586030748,-2.0000846227259266,Random Forest,CVX,999
-0.009919446921592691,-0.009919446921592691,0.4944944944944945,-0.0009261706465862996,-0.1793911625758023,Random Forest,DE,999
0.022254529547629485,0.022254529547629485,0.40540540540540543,-0.0009030052775640081,-0.21566074203207783,Random Forest,DIS,999
-0.09622994252962153,-0.09622994252962153,0.4944944944944945,-0.004437519409848064,-0.6950182577973637,Random Forest,EOG,999
0.11886711828502637,0.11886711828502637,0.5355355355355356,0.005379522379591828,1.1738110213152597,Random Forest,ETN,999
0.11019910891592773,0.11019910891592773,0.5155155155155156,0.006950301207269606,1.3714176213583131,Random Forest,GE,999
-0.11851934636104038,-0.11851934636104038,0.4974974974974975,-0.01017653824069884,-2.443456069321069,Random Forest,GILD,999
0.060251330694379636,0.060251330694379636,0.5265265265265265,0.015327676424306085,2.978302353947689,Random Forest,GOOGL,999
0.03705169929560337,0.03705169929560337,0.5145145145145145,0.005118285540094862,1.183864160463106,Random Forest,GS,999
-0.015698083030428044,-0.015698083030428044,0.5145145145145145,-9.927684671493274e-05,-0.0296442300207569,Random Forest,HD,999
0.0410828533625959,0.0410828533625959,0.47647647647647645,-0.004325447126594886,-1.6323555947487793,Random Forest,HON,999
-0.13348875593811793,-0.13348875593811793,0.5075075075075075,-0.005351053521552436,-1.5333656664690678,Random Forest,IBM,999
0.009911809556879805,0.009911809556879805,0.4864864864864865,0.001300327518455379,0.5433224163208384,Random Forest,ICE,999
-0.00599693151113299,-0.00599693151113299,0.5445445445445446,0.0014375816025196434,0.2813414280463579,Random Forest,INTU,999
0.06347025885193736,0.06347025885193736,0.5165165165165165,0.003204987008721803,0.7006365753748575,Random Forest,ISRG,999
0.1517962545450021,0.1517962545450021,0.4954954954954955,-0.000607430032031407,-0.2978036450089398,Random Forest,ITW,999
-0.021068766328219576,-0.021068766328219576,0.4294294294294294,-0.00944701671343397,-2.65801538941224,Random Forest,JNJ,999
0.040345911205229665,0.040345911205229665,0.5145145145145145,0.0029838896213386363,1.2431963662743495,Random Forest,JPM,999
0.009508737303222376,0.009508737303222376,0.5205205205205206,0.013384389374133351,2.3243560580997222,Random Forest,KLAC,999
-0.02832803937005143,-0.02832803937005143,0.46146146146146144,-0.0031164238336834535,-0.8109869404991272,Random Forest,KO,999
-0.028054688573381472,-0.028054688573381472,0.5325325325325325,0.010654028751699945,2.426036551826365,Random Forest,LLY,999
-0.011805274645124736,-0.011805274645124736,0.5045045045045045,-0.0012084723270484453,-0.3749145416383053,Random Forest,LOW,999
0.08129119337500933,0.08129119337500933,0.5135135135135135,0.013633873593133618,1.8643364691065916,Random Forest,LRCX,999
-0.01949011552643932,-0.01949011552643932,0.4904904904904905,7.75287344996122e-05,0.030255821233484956,Random Forest,MA,999
-0.023316708919052218,-0.023316708919052218,0.4984984984984985,8.994637764851583e-05,0.028111083785751164,Random Forest,MCD,999
0.02357495348197084,0.02357495348197084,0.5015015015015015,0.0003267853058219817,0.138784690550062,Random Forest,MCO,999
0.011010860375814795,0.011010860375814795,0.44544544544544545,-0.003864504897866536,-0.9329878201232746,Random Forest,MDLZ,999
0.13777274557561467,0.13777274557561467,0.5375375375375375,0.012639822260631506,1.3421524200964952,Random Forest,META,999
-0.043793037081055974,-0.043793037081055974,0.4904904904904905,-0.003844387952643006,-0.8555023722776897,Random Forest,MRK,999
-0.045182819346785634,-0.045182819346785634,0.5235235235235235,-0.008320999119553914,-2.1298585662594607,Random Forest,MS,999
0.07648836624864555,0.07648836624864555,0.5195195195195195,0.003983325372158833,1.466710029754664,Random Forest,MSFT,999
-0.051177549448539354,-0.051177549448539354,0.5705705705705706,0.00021934691840999075,0.08112086916137741,Random Forest,MSI,999
